Nome,Site,Contato,Telefone,Categoria,Setor,UF
Hortatech,hortatech.com.br,,,Software House,IT,SP
Iugu,iugu.com.br,ouvidoria@iugu.com,0800 326 0956,Scale Up,Finance,SP
James Delivery,www.jamesdelivery.com.br/,cliente@jamesdelivery.com.br,0800 779 6761,Grupo,Food,PA
Linkana,linkana.com,,,Startup,IT,SP
Locaweb,locaweb.com,,,Grupo,IT,SP
Omens,omens.com.br,marcio.pinho@omens.com.br,,Startup,Healthcare,SP
QConcursos,qconcursos.com,,,Startup,Education,RJ
Quero Educação,quero.com,,0800 123 22 22,Scale Up,Education,SP
Qulture Rocks,qulture.rocks,,,Startup,Service,
R7,r7.com,,,Scale Up,Media,
ReclameAqui,reclameaqui.com.br,,,Scale Up,Marketing,SP
Reev,reev.co,,,Startup,Marketing,
Repassa,repassa.com.br,contato@repassa.com.br,,Startup,Fashion,
Reserva,usereserva.com,,,Grupo,Fashion,RJ
Responde Ai,respondeai.com.br,,,Startup,Education,
Revelo,revelo.com.br,,,Scale Up,Recruitment,SP
RD Station,resultadosdigitais.com.br,,,Scale Up,Marketing,SP/SC
Segdev,segdev.com.br/,,,Startup,Finance,SP
SmartFit / Bioritmo,smartfit.com,,,Grupo,Fitness,SP/ES
Sopha,sopha.com.br,,11 91785 4805,Startup,Retail,SP
Stant,stant.com.br,,,Startup,Construction,
Startaê,startae.com,hi@startae.com,,Software House,IT,DF
Sumup,sumup.com.br,,11 3080 7797,Scale Up,Finance,SP
Talentbrand,talentbrand.com.br,bruno@talentbrand.com.br,,Startup,Recruitment,SP
Traus,traus.com.br,,,Startup,,SP
Vagas,vagas.com.br,contato@vagas.com.br,,Grupo,Recruitment,
Vik,vik.app,,,Scale Up,Fitness,MG
Vindi,vindi.com.br,,,Scale Up,Finance,SP
Wedy,site.wedy.com,daniel@wedy.com,,Startup,Service,RS
Wipro,wipro.com,,,Grupo,IT,PA/SP
Youse Seguros,youse.com.br,,,Grupo,Finance,SP
Zee Dog,zeedog.com.br,contato@zee-dog.com,,Scale Up,Fashion,RJ
